




Analysis Type:	PANTHER Overrepresentation Test (Released 20221013)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.6799722 Released 2022-07-01
Analyzed List:	Crl02vSal02_NegFC_DEGs.txt (Sus scrofa)
Reference List:	FS27_BackgroundGenes.txt (Sus scrofa)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	FS27_BackgroundGenes.txt - REFLIST (12250)	Crl02vSal02_NegFC_DEGs.txt (152)	Crl02vSal02_NegFC_DEGs.txt (expected)	Crl02vSal02_NegFC_DEGs.txt (over/under)	Crl02vSal02_NegFC_DEGs.txt (fold Enrichment)	Crl02vSal02_NegFC_DEGs.txt (raw P-value)	Crl02vSal02_NegFC_DEGs.txt (FDR)
negative regulation of B cell receptor signaling pathway (GO:0050859)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of antigen receptor-mediated signaling pathway (GO:0050858)	19	0	.24	-	 < 0.01	1.00E00	1.00E00
regulation of B cell receptor signaling pathway (GO:0050855)	17	0	.21	-	 < 0.01	1.00E00	1.00E00
positive regulation of pinocytosis (GO:0048549)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of pinocytosis (GO:0048548)	7	0	.09	-	 < 0.01	1.00E00	1.00E00
primitive streak formation (GO:0090009)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
digestive tract morphogenesis (GO:0048546)	15	0	.19	-	 < 0.01	1.00E00	1.00E00
Peyer's patch development (GO:0048541)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of nucleotide-binding oligomerization domain containing 1 signaling pathway (GO:0070429)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of nucleotide-binding oligomerization domain containing 1 signaling pathway (GO:0070428)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
nucleotide-binding oligomerization domain containing 1 signaling pathway (GO:0070427)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of nucleotide-binding oligomerization domain containing signaling pathway (GO:0070426)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of nucleotide-binding oligomerization domain containing signaling pathway (GO:0070425)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of nucleotide-binding oligomerization domain containing signaling pathway (GO:0070424)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
nucleotide-binding oligomerization domain containing signaling pathway (GO:0070423)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of calcium-mediated signaling (GO:0050849)	14	0	.17	-	 < 0.01	1.00E00	1.00E00
progesterone receptor signaling pathway (GO:0050847)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
bone marrow development (GO:0048539)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
mucosa-associated lymphoid tissue development (GO:0048537)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
spleen development (GO:0048536)	21	0	.26	-	 < 0.01	1.00E00	1.00E00
lymph node development (GO:0048535)	15	0	.19	-	 < 0.01	1.00E00	1.00E00
cellular response to cold (GO:0070417)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of heterochromatin organization (GO:0120263)	14	0	.17	-	 < 0.01	1.00E00	1.00E00
negative regulation of heterochromatin organization (GO:0120262)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
regulation of heterochromatin organization (GO:0120261)	24	0	.30	-	 < 0.01	1.00E00	1.00E00
trehalose metabolism in response to stress (GO:0070413)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
defense response to fungus (GO:0050832)	13	0	.16	-	 < 0.01	1.00E00	1.00E00
defense response to Gram-positive bacterium (GO:0050830)	36	0	.45	-	 < 0.01	1.00E00	1.00E00
negative regulation of viral process (GO:0048525)	53	0	.66	-	 < 0.01	1.00E00	1.00E00
positive regulation of viral process (GO:0048524)	45	0	.56	-	 < 0.01	1.00E00	1.00E00
negative regulation of behavior (GO:0048521)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of behavior (GO:0048520)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
olefinic compound catabolic process (GO:0120256)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
olefinic compound biosynthetic process (GO:0120255)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidation-dependent protein catabolic process (GO:0070407)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hydrocarbon catabolic process (GO:0120253)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
hydrocarbon metabolic process (GO:0120252)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
transposition, RNA-mediated (GO:0032197)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
transposition (GO:0032196)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
ubiquinone biosynthetic process via 3,4-dihydroxy-5-polyprenylbenzoate (GO:0032194)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
defense response to Gram-negative bacterium (GO:0050829)	20	0	.25	-	 < 0.01	1.00E00	1.00E00
poly(A)+ mRNA export from nucleus (GO:0016973)	15	0	.19	-	 < 0.01	1.00E00	1.00E00
positive regulation of coagulation (GO:0050820)	14	0	.17	-	 < 0.01	1.00E00	1.00E00
circadian behavior (GO:0048512)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
histone H3-K14 acetylation (GO:0044154)	13	0	.16	-	 < 0.01	1.00E00	1.00E00
septin cytoskeleton organization (GO:0032185)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of coagulation (GO:0050819)	19	0	.24	-	 < 0.01	1.00E00	1.00E00
regulation of coagulation (GO:0050818)	36	0	.45	-	 < 0.01	1.00E00	1.00E00
doxorubicin transport (GO:1900753)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of acyl-CoA biosynthetic process (GO:0050812)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of timing of cell differentiation (GO:0048505)	7	0	.09	-	 < 0.01	1.00E00	1.00E00
glutathione deglycation (GO:0036531)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein deglycation, methylglyoxal removal (GO:0036530)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
synapse organization (GO:0050808)	100	0	1.24	-	 < 0.01	6.37E-01	1.00E00
positive regulation of vascular endothelial growth factor signaling pathway (GO:1900748)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
negative regulation of vascular endothelial growth factor signaling pathway (GO:1900747)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of synaptic transmission (GO:0050806)	40	0	.50	-	 < 0.01	1.00E00	1.00E00
regulation of vascular endothelial growth factor signaling pathway (GO:1900746)	11	0	.14	-	 < 0.01	1.00E00	1.00E00
negative regulation of synaptic transmission (GO:0050805)	16	0	.20	-	 < 0.01	1.00E00	1.00E00
positive regulation of p38MAPK cascade (GO:1900745)	15	0	.19	-	 < 0.01	1.00E00	1.00E00
regulation of p38MAPK cascade (GO:1900744)	25	0	.31	-	 < 0.01	1.00E00	1.00E00
circadian sleep/wake cycle, sleep (GO:0050802)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein localization to motile cilium (GO:0120229)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
protein deglycation, glyoxal removal (GO:0036529)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peptidyl-lysine deglycation (GO:0036528)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peptidyl-arginine deglycation (GO:0036527)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peptidyl-cysteine deglycation (GO:0036526)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein deglycation (GO:0036525)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of blastocyst development (GO:0120222)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
astrocyte-dopaminergic neuron signaling (GO:0036520)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of phospholipase C-activating G protein-coupled receptor signaling pathway (GO:1900738)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of phospholipase C-activating G protein-coupled receptor signaling pathway (GO:1900736)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
serotonergic neuron axon guidance (GO:0036515)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dopaminergic neuron axon guidance (GO:0036514)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation by symbiont of entry into host (GO:0075294)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
trimming of terminal mannose on B branch (GO:0036509)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein alpha-1,2-demannosylation (GO:0036508)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
protein demannosylation (GO:0036507)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
maintenance of unfolded protein (GO:0036506)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ERAD pathway (GO:0036503)	77	0	.96	-	 < 0.01	1.00E00	1.00E00
formation of structure involved in a symbiotic process (GO:0044111)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
activation of protein kinase B activity (GO:0032148)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
protein desumoylation (GO:0016926)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
cellular alcohol biosynthetic process (GO:0044108)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
cellular alcohol metabolic process (GO:0044107)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
embryonic axis specification (GO:0000578)	19	0	.24	-	 < 0.01	1.00E00	1.00E00
sequestering of zinc ion (GO:0032119)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of carbohydrate phosphatase activity (GO:0032113)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of response to nutrient levels (GO:0032109)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of response to nutrient levels (GO:0032108)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of response to nutrient levels (GO:0032107)	16	0	.20	-	 < 0.01	1.00E00	1.00E00
positive regulation of response to extracellular stimulus (GO:0032106)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of response to extracellular stimulus (GO:0032105)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of response to extracellular stimulus (GO:0032104)	16	0	.20	-	 < 0.01	1.00E00	1.00E00
positive regulation of appetite (GO:0032100)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cell dedifferentiation (GO:0043697)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dedifferentiation (GO:0043696)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
reverse cholesterol transport (GO:0043691)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of low-density lipoprotein receptor activity (GO:1905599)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of low-density lipoprotein receptor activity (GO:1905598)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of low-density lipoprotein particle receptor binding (GO:1905597)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of low-density lipoprotein particle receptor binding (GO:1905595)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fibronectin fibril organization (GO:1905590)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
centrosome duplication (GO:0051298)	27	0	.34	-	 < 0.01	1.00E00	1.00E00
global gene silencing by mRNA cleavage (GO:0098795)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
co-translational protein modification (GO:0043686)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
establishment of meiotic spindle localization (GO:0051295)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
establishment of spindle orientation (GO:0051294)	22	0	.27	-	 < 0.01	1.00E00	1.00E00
establishment of spindle localization (GO:0051293)	31	0	.38	-	 < 0.01	1.00E00	1.00E00
xenophagy (GO:0098792)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
nuclear pore complex assembly (GO:0051292)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
protein heterooligomerization (GO:0051291)	13	0	.16	-	 < 0.01	1.00E00	1.00E00
protein heterotetramerization (GO:0051290)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
induction of programmed cell death (GO:0012502)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
outer hair cell apoptotic process (GO:1905584)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
pre-mRNA cleavage required for polyadenylation (GO:0098789)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
positive regulation of low-density lipoprotein particle clearance (GO:1905581)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein homotetramerization (GO:0051289)	31	0	.38	-	 < 0.01	1.00E00	1.00E00
positive regulation of ERBB3 signaling pathway (GO:1905580)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mRNA cleavage involved in mRNA processing (GO:0098787)	11	0	.14	-	 < 0.01	1.00E00	1.00E00
positive regulation of sequestering of calcium ion (GO:0051284)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of sequestering of calcium ion (GO:0051283)	30	0	.37	-	 < 0.01	1.00E00	1.00E00
regulation of sequestering of calcium ion (GO:0051282)	62	0	.77	-	 < 0.01	1.00E00	1.00E00
ncRNA transcription (GO:0098781)	28	0	.35	-	 < 0.01	1.00E00	1.00E00
positive regulation of release of sequestered calcium ion into cytosol (GO:0051281)	21	0	.26	-	 < 0.01	1.00E00	1.00E00
response to mitochondrial depolarisation (GO:0098780)	16	0	.20	-	 < 0.01	1.00E00	1.00E00
exosomal secretion (GO:1990182)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of release of sequestered calcium ion into cytosol (GO:0051280)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
mitochondrial tRNA 3'-end processing (GO:1990180)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of ERBB3 signaling pathway (GO:1905578)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of mitophagy in response to mitochondrial depolarization (GO:0098779)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of release of sequestered calcium ion into cytosol (GO:0051279)	35	0	.43	-	 < 0.01	1.00E00	1.00E00
regulation of phosphoprotein phosphatase activity (GO:0043666)	30	0	.37	-	 < 0.01	1.00E00	1.00E00
skin epidermis development (GO:0098773)	39	0	.48	-	 < 0.01	1.00E00	1.00E00
protein localization to nucleoplasm (GO:1990173)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
G protein-coupled receptor catabolic process (GO:1990172)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
stress response to cadmium ion (GO:1990170)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of vascular endothelial cell proliferation (GO:1905563)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
stress response to copper ion (GO:1990169)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
protein K33-linked deubiquitination (GO:1990168)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
protein K27-linked deubiquitination (GO:1990167)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mitotic cell cycle phase (GO:0098763)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
recognition of apoptotic cell (GO:0043654)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
mitochondrial fragmentation involved in apoptotic process (GO:0043653)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
protein tetramerization (GO:0051262)	47	0	.58	-	 < 0.01	1.00E00	1.00E00
cellular response to interleukin-7 (GO:0098761)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
engulfment of apoptotic cell (GO:0043652)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
protein depolymerization (GO:0051261)	32	0	.40	-	 < 0.01	1.00E00	1.00E00
response to interleukin-7 (GO:0098760)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
linoleic acid metabolic process (GO:0043651)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein homooligomerization (GO:0051260)	104	0	1.29	-	 < 0.01	6.41E-01	1.00E00
dicarboxylic acid biosynthetic process (GO:0043650)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
positive regulation of blood vessel branching (GO:1905555)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of blood vessel branching (GO:1905553)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
specification of symmetry (GO:0009799)	59	0	.73	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein localization to endoplasmic reticulum (GO:1905552)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cellular response to interleukin-8 (GO:0098759)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein localization to endoplasmic reticulum (GO:1905551)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to interleukin-8 (GO:0098758)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of protein localization to endoplasmic reticulum (GO:1905550)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
dicarboxylic acid catabolic process (GO:0043649)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
dicarboxylic acid metabolic process (GO:0043648)	46	0	.57	-	 < 0.01	1.00E00	1.00E00
meiotic spindle midzone assembly (GO:0051257)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of mitotic cell cycle, embryonic (GO:0009794)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
inositol phosphate metabolic process (GO:0043647)	27	0	.34	-	 < 0.01	1.00E00	1.00E00
mitotic spindle midzone assembly (GO:0051256)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
spindle midzone assembly (GO:0051255)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
detoxification (GO:0098754)	74	0	.92	-	 < 0.01	1.00E00	1.00E00
bone cell development (GO:0098751)	21	0	.26	-	 < 0.01	1.00E00	1.00E00
negative regulation of lymphocyte activation (GO:0051250)	98	0	1.22	-	 < 0.01	6.36E-01	1.00E00
cellular response to nutrient (GO:0031670)	14	0	.17	-	 < 0.01	1.00E00	1.00E00
positive regulation of abscisic acid-activated signaling pathway (GO:0009789)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cerebellar neuron development (GO:0098749)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of abscisic acid-activated signaling pathway (GO:0009787)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of ephrin receptor signaling pathway (GO:1901189)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fast, calcium ion-dependent exocytosis of neurotransmitter (GO:0098746)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of ephrin receptor signaling pathway (GO:1901187)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of ERBB signaling pathway (GO:1901186)	21	0	.26	-	 < 0.01	1.00E00	1.00E00
negative regulation of ERBB signaling pathway (GO:1901185)	17	0	.21	-	 < 0.01	1.00E00	1.00E00
cell aggregation (GO:0098743)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of ERBB signaling pathway (GO:1901184)	45	0	.56	-	 < 0.01	1.00E00	1.00E00
maintenance of translational fidelity (GO:1990145)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
polyadenylation-dependent ncRNA catabolic process (GO:0043634)	7	0	.09	-	 < 0.01	1.00E00	1.00E00
intrinsic apoptotic signaling pathway in response to hypoxia (GO:1990144)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
polyadenylation-dependent RNA catabolic process (GO:0043633)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
RNA polyadenylation (GO:0043631)	24	0	.30	-	 < 0.01	1.00E00	1.00E00
positive regulation of lipopolysaccharide-mediated signaling pathway (GO:0031666)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
negative regulation of lipopolysaccharide-mediated signaling pathway (GO:0031665)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of lipopolysaccharide-mediated signaling pathway (GO:0031664)	16	0	.20	-	 < 0.01	1.00E00	1.00E00
lipopolysaccharide-mediated signaling pathway (GO:0031663)	27	0	.34	-	 < 0.01	1.00E00	1.00E00
positive regulation of eukaryotic translation initiation factor 4F complex assembly (GO:1905537)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of eukaryotic translation initiation factor 4F complex assembly (GO:1905535)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of leucine import across plasma membrane (GO:1905533)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of leucine import across plasma membrane (GO:1905532)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ncRNA polyadenylation (GO:0043629)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sequestering of metal ion (GO:0051238)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
small regulatory ncRNA 3'-end processing (GO:0043628)	14	0	.17	-	 < 0.01	1.00E00	1.00E00
negative regulation of the force of heart contraction (GO:0098736)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
neuron projection extension (GO:1990138)	33	0	.41	-	 < 0.01	1.00E00	1.00E00
positive regulation of the force of heart contraction (GO:0098735)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
macromolecule depalmitoylation (GO:0098734)	12	0	.15	-	 < 0.01	1.00E00	1.00E00
macromolecule deacylation (GO:0098732)	61	0	.76	-	 < 0.01	1.00E00	1.00E00
cortical microtubule organization (GO:0043622)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
spindle disassembly (GO:0051230)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of DNA-templated transcription in response to stress (GO:0043620)	31	0	.38	-	 < 0.01	1.00E00	1.00E00
positive regulation of heat generation (GO:0031652)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of heat generation (GO:0031651)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of heat generation (GO:0031650)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein autoubiquitination (GO:1905524)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of macrophage migration (GO:1905523)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
negative regulation of macrophage migration (GO:1905522)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
regulation of macrophage migration (GO:1905521)	18	0	.22	-	 < 0.01	1.00E00	1.00E00
germline stem cell asymmetric division (GO:0098728)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of transcription from RNA polymerase II promoter in response to oxidative stress (GO:0043619)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
mitotic spindle disassembly (GO:0051228)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
maintenance of cell number (GO:0098727)	62	0	.77	-	 < 0.01	1.00E00	1.00E00
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	28	0	.35	-	 < 0.01	1.00E00	1.00E00
neural crest cell migration involved in autonomic nervous system development (GO:1901166)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
intrinsic apoptotic signaling pathway in response to osmotic stress by p53 class mediator (GO:1990127)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
keratinocyte proliferation (GO:0043616)	16	0	.20	-	 < 0.01	1.00E00	1.00E00
positive regulation of trophoblast cell migration (GO:1901165)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
astrocyte cell migration (GO:0043615)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
negative regulation of protein transport (GO:0051224)	57	0	.71	-	 < 0.01	1.00E00	1.00E00
negative regulation of trophoblast cell migration (GO:1901164)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
asymmetric stem cell division (GO:0098722)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of trophoblast cell migration (GO:1901163)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
primary amino compound biosynthetic process (GO:1901162)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cytoplasmic sequestering of protein (GO:0051220)	14	0	.17	-	 < 0.01	1.00E00	1.00E00
primary amino compound metabolic process (GO:1901160)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
messenger ribonucleoprotein complex assembly (GO:1990120)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
heat generation (GO:0031649)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
protein destabilization (GO:0031648)	32	0	.40	-	 < 0.01	1.00E00	1.00E00
negative regulation of nervous system process (GO:0031645)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
negative regulation of myelination (GO:0031642)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
killing of cells of another organism (GO:0031640)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
positive regulation of fertilization (GO:1905516)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
non-motile cilium assembly (GO:1905515)	39	0	.48	-	 < 0.01	1.00E00	1.00E00
negative regulation of short-term synaptic potentiation (GO:1905513)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of short-term synaptic potentiation (GO:1905512)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sodium ion import across plasma membrane (GO:0098719)	8	0	.10	-	 < 0.01	1.00E00	1.00E00
hexose mediated signaling (GO:0009757)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
serine import across plasma membrane (GO:0098718)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
xylulose 5-phosphate biosynthetic process (GO:1901159)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
carbohydrate mediated signaling (GO:0009756)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cartilage development (GO:0051216)	69	0	.86	-	 < 0.01	1.00E00	1.00E00
formamide metabolic process (GO:0043606)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular amide catabolic process (GO:0043605)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
leucine import across plasma membrane (GO:0098713)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II core complex assembly (GO:1990114)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to fructose (GO:0009750)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
iron ion import across plasma membrane (GO:0098711)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
plasminogen activation (GO:0031639)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
zymogen activation (GO:0031638)	27	0	.34	-	 < 0.01	1.00E00	1.00E00
positive regulation of synaptic vesicle fusion to presynaptic active zone membrane (GO:0031632)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of synaptic vesicle fusion to presynaptic active zone membrane (GO:0031630)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
protein localization to microtubule organizing center (GO:1905508)	18	0	.22	-	 < 0.01	1.00E00	1.00E00
positive regulation of motile cilium assembly (GO:1905505)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of motile cilium assembly (GO:1905503)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to glucose (GO:0009749)	39	0	.48	-	 < 0.01	1.00E00	1.00E00
release of sequestered calcium ion into cytosol (GO:0051209)	29	0	.36	-	 < 0.01	1.00E00	1.00E00
glucose import across plasma membrane (GO:0098708)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
response to hexose (GO:0009746)	41	0	.51	-	 < 0.01	1.00E00	1.00E00
sequestering of calcium ion (GO:0051208)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
gene expression involved in extracellular matrix organization (GO:1901148)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein linear deubiquitination (GO:1990108)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
protein insertion into membrane (GO:0051205)	32	0	.40	-	 < 0.01	1.00E00	1.00E00
carbohydrate import across plasma membrane (GO:0098704)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein insertion into mitochondrial membrane (GO:0051204)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
calcium ion import across plasma membrane (GO:0098703)	11	0	.14	-	 < 0.01	1.00E00	1.00E00
